ID,Tipo,Color,Material,Agregado,Cantidad,Precio Unitario,Precio Total,Fecha
1938,Lámpara de cuello ganzo,Negro,Metal,Sin agregado,1,550,550,2024-03-26
1939,Casillero de 2 puertas,Gris,Melamina,Con espejo,2,980,1960,2024-03-25
1940,Silla giratoria,Rojo,Metal,No acolchonada,1,990,990,2024-03-17
1941,Estante de puertas corredizas,Blanco,Metal,De pie,7,1750,12250,2024-04-18
1942,Archivador de Chapas Individuales,Rojo,Metal,Sin agregado,3,1400,4200,2024-03-18
1943,Estante de puertas corredizas,Azul,Metal,Con puertas,7,1750,12250,2024-04-21
1944,Estanteria tipo vitrin,Gris,Melamina,De pared,9,650,5850,2024-01-14
1945,Silla giratoria,Negro,Metal,Acolchonada,6,990,5940,2024-02-29
1946,Estante para archivos con bandejas,Blanco,Melamina,De pie,6,2350,14100,2024-05-12
1947,Casillero de 2 puertas,Negro,Melamina,Con espejo,8,980,7840,2024-04-24
1948,Estante para farmacia,Negro,Melamina,De pared,6,3500,21000,2024-03-21
1949,Alacena con pedestal,Rojo,Metal,Sin agregado,2,1600,3200,2024-02-07
1950,Silla estática con brazo,Gris,Metal,Acolchonada,6,320,1920,2024-03-14
1951,Gabetero de 3 cajas,Rojo,Melamina,Con cerradura,7,1250,8750,2024-05-30
1952,Cocina industrial de dos quemadores,Negro,Metal,Sin agregado,2,1250,2500,2024-03-15
1953,Estante de puertas corredizas,Blanco,Metal,De pie,10,1750,17500,2024-05-24
1954,Vitrina de puertas corredizas,Gris,Melamina,Con iluminación,1,1900,1900,2024-02-18
1955,Archivero,Gris,Melamina,Sin agregado,2,1800,3600,2024-03-18
1956,Casillero de 15 puertas,Rojo,Metal,Sin chapa,5,2290,11450,2024-03-14
1957,Vitrina de puertas corredizas,Azul,Melamina,Con iluminación,3,1900,5700,2024-04-04
1958,Silla estática con brazo,Azul,Melamina,No acolchonada,10,320,3200,2024-01-21
1959,Casillero de 15 puertas,Negro,Metal,Con espejo,6,2290,13740,2024-03-19
1960,Casillero de dos puertas,Blanco,Metal,Con chapa,6,1850,11100,2024-04-17
1961,Gabetero de 2 cajas sin chapa,Negro,Metal,Sin cerradura,2,830,1660,2024-01-22
1962,Estante Archivador,Blanco,Metal,De pie,7,1250,8750,2024-05-14
1963,Gabetero de 2 cajas sin chapa,Azul,Metal,Sin cerradura,8,830,6640,2024-03-28
1964,Silla giratoria,Rojo,Metal,Sin brazos,6,990,5940,2024-05-05
1965,Silla giratoria,Negro,Metal,Sin brazos,6,990,5940,2024-03-19
1966,Gabetero con chapa independiente,Negro,Melamina,Con cerradura,8,1750,14000,2024-03-29
1967,Silla de peluquería,Gris,Metal,Acolchonada,7,210,1470,2024-03-14
1968,Mesa de trabajo,Negro,Melamina,Cuadrada,1,1500,1500,2024-04-11
1969,Estanteria tipo vitrin,Blanco,Metal,De pie,6,650,3900,2024-05-07
1970,Vitrina para farmacia,Rojo,Metal,De vidrio,3,1100,3300,2024-04-17
1971,Gabetero de 5 cajas,Negro,Metal,De oficina,7,1600,11200,2024-03-14
1972,Casillero de 6 puertas,Azul,Melamina,Con espejo,2,1750,3500,2024-01-13
1973,Camillas para masajes,Blanco,Metal,Sin barillas,2,1250,2500,2024-01-29
1974,Casillero de 15 puertas,Rojo,Melamina,Con espejo,9,2290,20610,2024-04-04
1975,Gabetero de 5 cajas,Negro,Metal,De oficina,6,1600,9600,2024-01-18
1976,Casillero de 20 puertas,Negro,Melamina,Sin chapa,9,2800,25200,2024-04-03
1977,Camilla de ginecología,Azul,Melamina,Con barillas,2,1850,3700,2024-02-22
1978,Estante mostrador,Rojo,Melamina,Sin puertas,6,520,3120,2024-03-25
1979,Silla de espera,Azul,Metal,Acolchonada,9,950,8550,2024-03-24
1980,Vitrina para farmacia,Gris,Melamina,De madera,2,1100,2200,2024-04-24
1981,Estante para farmacia,Rojo,Metal,Con puertas,7,3500,24500,2024-05-23
1982,Casillero de 1 cuerpo y 1 puerta,Azul,Melamina,Sin chapa,8,900,7200,2024-02-08
1983,Biombo,Rojo,Melamina,Sin agregado,1,450,450,2024-01-15
1984,Mostrador para librería,Rojo,Melamina,Sin agregado,1,900,900,2024-04-29
1985,Estanteria tipo vitrin,Gris,Metal,De pared,7,650,4550,2024-01-20
1986,Casillero de 6 puertas,Rojo,Melamina,Sin espejo,8,1750,14000,2024-01-15
1987,Archivador de Chapas Individuales,Azul,Melamina,Sin agregado,3,1400,4200,2024-05-10
1988,Gabetero de 2 cajas con chapa adicional,Azul,Metal,De oficina,6,980,5880,2024-03-01
1989,Casillero de 1 cuerpo y 4 puertas,Gris,Melamina,Con espejo,8,980,7840,2024-03-18
1990,Casillero de 6 puertas,Azul,Melamina,Con chapa,8,1750,14000,2024-02-12
1991,Gabetero de 2 cajas sin chapa,Gris,Metal,Con cerradura,8,830,6640,2024-03-09
1992,Archivador de Chapas Individuales,Gris,Melamina,Sin agregado,1,1400,1400,2024-03-11
1993,Casillero de 1 cuerpo y 4 puertas,Negro,Melamina,Con espejo,6,980,5880,2024-02-01
1994,Gabetero de 5 cajas,Rojo,Metal,De oficina,5,1600,8000,2024-02-11
1995,Gabetero con chapa independiente,Negro,Melamina,Con cerradura,9,1750,15750,2024-01-13
1996,Gabetero de 2 cajas sin chapa,Rojo,Metal,Con cerradura,9,830,7470,2024-01-24
1997,Casillero de cuatro puertas,Blanco,Metal,Sin chapa,10,1550,15500,2024-05-28
1998,Casillero de 12 puertas,Blanco,Melamina,Con espejo,9,2200,19800,2024-05-10
1999,Casillero de 12 puertas,Gris,Melamina,Sin chapa,9,2200,19800,2024-05-21
2000,Silla de espera,Negro,Metal,No acolchonada,5,950,4750,2024-05-05
2001,Casillero de 6 puertas,Blanco,Metal,Con espejo,9,1750,15750,2024-01-25
2002,Silla giratoria,Gris,Melamina,Acolchonada,8,990,7920,2024-01-22
2003,Casillero de 12 puertas,Gris,Metal,Con chapa,6,2200,13200,2024-04-07
2004,Silla estática,Negro,Melamina,Acolchonada,7,140,980,2024-05-06
2005,Gabetero con chapa independiente,Blanco,Metal,De hogar,1,1750,1750,2024-02-18
2006,Estante para farmacia,Blanco,Metal,Con puertas,1,3500,3500,2024-04-19
2007,Gabetero de 5 cajas,Azul,Melamina,De hogar,10,1600,16000,2024-04-27
2008,Camilla tipo escritorio,Rojo,Melamina,Con espaldar movible,1,2750,2750,2024-05-01
2009,Silla de espera,Rojo,Melamina,Acolchonada,5,950,4750,2024-05-09
2010,Archivador de Chapas Individuales,Rojo,Metal,Sin agregado,1,1400,1400,2024-03-24
2011,Mesa de trabajo,Gris,Melamina,Sin cajones,3,1500,4500,2024-04-11
2012,Estante para archivos con bandejas,Azul,Melamina,Sin puertas,9,2350,21150,2024-05-14
2013,Casillero de 12 puertas,Azul,Melamina,Con espejo,5,2200,11000,2024-05-10
2014,Silla mesedora,Blanco,Melamina,Acolchonada,10,500,5000,2024-05-10
2015,Gabetero de 2 cajas con chapa adicional,Blanco,Melamina,Sin cerradura,9,980,8820,2024-04-25
2016,Gabetero de 2 cajas sin chapa,Azul,Melamina,Sin cerradura,6,830,4980,2024-02-19
2017,Casillero de 12 puertas,Gris,Metal,Con espejo,9,2200,19800,2024-04-29
2018,Casillero de 2 puertas,Negro,Metal,Sin espejo,10,980,9800,2024-03-24
2019,Casillero de 6 puertas,Negro,Metal,Sin chapa,9,1750,15750,2024-01-30
2020,Casillero de cuatro puertas,Azul,Metal,Con espejo,10,1550,15500,2024-04-26
2021,Silla giratoria,Negro,Melamina,Acolchonada,8,990,7920,2024-04-17
2022,Casillero de cuatro puertas,Blanco,Melamina,Sin chapa,6,1550,9300,2024-04-30
2023,Broastera simple,Blanco,Melamina,Sin agregado,2,1100,2200,2024-02-08
2024,Gabetero con chapa independiente,Negro,Metal,Sin cerradura,9,1750,15750,2024-04-02
2025,Casillero de 6 puertas,Gris,Melamina,Con chapa,8,1750,14000,2024-03-26
2026,Gabetero con chapa independiente,Azul,Metal,Sin cerradura,9,1750,15750,2024-03-28
2027,Gabetero de 5 cajas,Blanco,Melamina,Sin cerradura,7,1600,11200,2024-01-28
2028,Lámpara de cuello ganzo,Blanco,Metal,Sin agregado,3,550,1650,2024-05-09
2029,Casillero de 6 puertas,Rojo,Metal,Sin espejo,7,1750,12250,2024-02-04
2030,Taburete médico,Rojo,Metal,Sin agregado,3,630,1890,2024-03-08
2031,Gabetero de 2 cajas con chapa adicional,Blanco,Melamina,Con cerradura,8,980,7840,2024-05-29
2032,Casillero de 15 puertas,Rojo,Melamina,Sin espejo,8,2290,18320,2024-03-24
2033,Gabetero de 4 cajas,Blanco,Metal,Con cerradura,6,1380,8280,2024-03-24
2034,Casillero de 12 puertas,Gris,Metal,Sin chapa,3,2200,6600,2024-03-12
2035,Silla estática con brazo,Gris,Melamina,No acolchonada,4,320,1280,2024-04-24
2036,Casillero de cuatro puertas,Azul,Melamina,Con espejo,8,1550,12400,2024-03-06
2037,Estante mostrador,Blanco,Melamina,De pared,6,520,3120,2024-01-31
2038,Estante para farmacia de dos cuerpos,Azul,Metal,Con puertas,3,3550,10650,2024-02-11
2039,Estante para farmacia,Gris,Metal,Sin puertas,7,3500,24500,2024-05-07
2040,Gabetero de 2 cajas con chapa adicional,Azul,Metal,De oficina,10,980,9800,2024-04-18
2041,Estante mostrador,Rojo,Melamina,Con puertas,8,520,4160,2024-04-25
2042,Casillero de cuatro puertas,Negro,Melamina,Sin chapa,9,1550,13950,2024-02-05
2043,Silla mesedora,Negro,Metal,No acolchonada,7,500,3500,2024-03-19
2044,Casillero de cuatro puertas,Gris,Melamina,Con chapa,10,1550,15500,2024-01-24
2045,Casillero de 6 puertas,Rojo,Melamina,Sin chapa,6,1750,10500,2024-04-30
2046,Estante Archivador,Gris,Melamina,De pared,10,1250,12500,2024-01-14
2047,Estante mostrador,Rojo,Melamina,De pared,9,520,4680,2024-02-07
2048,Archivador de Chapas Individuales,Blanco,Melamina,Sin agregado,1,1400,1400,2024-03-21
2049,Archivador de Chapas Individuales,Negro,Melamina,Sin agregado,1,1400,1400,2024-05-29
2050,Estante mostrador,Rojo,Metal,Con puertas,9,520,4680,2024-03-09
2051,Gabetero de 5 cajas,Azul,Melamina,De hogar,10,1600,16000,2024-05-05
2052,Estante Archivador,Azul,Metal,Sin puertas,6,1250,7500,2024-03-02
2053,Catre de internación,Azul,Metal,Sin agregado,2,2650,5300,2024-04-03
2054,Silla de peluquería,Blanco,Melamina,Sin brazos,8,210,1680,2024-01-15
2055,Silla estática con brazo,Rojo,Melamina,Sin brazos,9,320,2880,2024-03-10
2056,Estante para archivos con bandejas,Rojo,Melamina,Sin puertas,10,2350,23500,2024-02-12
2057,Estante de puertas corredizas,Negro,Metal,Sin puertas,7,1750,12250,2024-05-11
2058,Silla giratoria,Gris,Melamina,Sin brazos,2,990,1980,2024-03-23
2059,Vitrina para farmacia,Gris,Metal,Sin iluminación,3,1100,3300,2024-03-21
2060,Estante para farmacia,Negro,Metal,Con puertas,6,3500,21000,2024-02-28
2061,Casillero de cuatro puertas,Azul,Metal,Con chapa,9,1550,13950,2024-01-19
2062,Gabetero con chapa independiente,Negro,Melamina,De oficina,8,1750,14000,2024-03-07
2063,Estanteria tipo vitrin,Blanco,Melamina,Con puertas,6,650,3900,2024-05-12
2064,Estante para farmacia,Rojo,Melamina,Con puertas,10,3500,35000,2024-02-18
2065,Mostrador para librería,Rojo,Melamina,Sin agregado,1,900,900,2024-05-25
2066,Cocina industrial de dos quemadores,Gris,Metal,Sin agregado,2,1250,2500,2024-02-13
2067,Archivador de Chapas Individuales,Azul,Metal,Sin agregado,3,1400,4200,2024-05-24
2068,Gabetero de 5 cajas,Negro,Melamina,Con cerradura,10,1600,16000,2024-03-25
2069,Cajero para supermercado,Negro,Melamina,Sin agregado,3,1200,3600,2024-01-25
2070,Casillero de 2 puertas,Negro,Melamina,Sin espejo,9,980,8820,2024-05-22
2071,Gabetero de 2 cajas con chapa adicional,Negro,Melamina,Sin cerradura,10,980,9800,2024-03-04
2072,Gabetero de 3 cajas,Azul,Melamina,Con cerradura,1,1250,1250,2024-05-17
2073,Silla estática,Gris,Metal,Acolchonada,3,140,420,2024-04-04
2074,Casillero de 9 puertas,Negro,Melamina,Sin espejo,10,1850,18500,2024-04-27
2075,Gabetero de 3 cajas,Azul,Melamina,De hogar,8,1250,10000,2024-03-03
2076,Casillero de dos puertas,Negro,Melamina,Sin espejo,9,1850,16650,2024-05-24
2077,Vitrina para farmacia,Rojo,Melamina,Sin iluminación,3,1100,3300,2024-05-05
2078,Estante para farmacia,Blanco,Metal,Sin puertas,10,3500,35000,2024-03-08
2079,Gabetero de 5 cajas,Azul,Melamina,Con cerradura,9,1600,14400,2024-02-09
2080,Estante para farmacia,Blanco,Metal,De pared,10,3500,35000,2024-04-11
2081,Camilla de examen con espaldar movible,Blanco,Metal,Con espaldar movible,1,1450,1450,2024-04-12
2082,Estante Archivador,Blanco,Metal,De pared,8,1250,10000,2024-01-23
2083,Casillero de cuatro puertas,Rojo,Metal,Sin espejo,8,1550,12400,2024-02-01
2084,Vitrina de puertas corredizas,Azul,Melamina,De vidrio,2,1900,3800,2024-04-26
2085,Gabetero de 2 cajas sin chapa,Gris,Melamina,Sin cerradura,9,830,7470,2024-02-23
2086,Estante de puertas corredizas,Negro,Melamina,Sin puertas,1,1750,1750,2024-02-26
2087,Casillero de 12 puertas,Azul,Melamina,Sin espejo,7,2200,15400,2024-05-14
2088,Gabetero de 3 cajas,Negro,Metal,De hogar,7,1250,8750,2024-04-07
2089,Vitrina para farmacia,Rojo,Metal,De madera,2,1100,2200,2024-01-15
2090,Casillero de 9 puertas,Blanco,Metal,Con chapa,10,1850,18500,2024-03-08
2091,Casillero de 20 puertas,Gris,Metal,Con chapa,10,2800,28000,2024-02-24
2092,Casillero de 6 puertas,Azul,Melamina,Sin espejo,3,1750,5250,2024-02-18
2093,Archivador de Chapas Individuales,Negro,Metal,Sin agregado,3,1400,4200,2024-01-25
2094,Silla mesedora,Blanco,Melamina,Sin brazos,10,500,5000,2024-04-14
2095,Gabetero de 4 cajas,Gris,Metal,Sin cerradura,4,1380,5520,2024-03-06
2096,Casillero de 1 cuerpo y 4 puertas,Blanco,Metal,Sin espejo,10,980,9800,2024-02-03
2097,Silla de espera,Negro,Metal,Con brazos,6,950,5700,2024-05-18
2098,Estante para farmacia de dos cuerpos,Blanco,Metal,De pared,6,3550,21300,2024-02-18
2099,Estante de puertas corredizas,Blanco,Metal,De pie,3,1750,5250,2024-05-30
2100,Estante mostrador,Rojo,Melamina,De pared,7,520,3640,2024-03-13
2101,Gabetero de 2 cajas sin chapa,Gris,Metal,Con cerradura,7,830,5810,2024-05-18
2102,Cocina industrial de dos quemadores,Gris,Melamina,Sin agregado,1,1250,1250,2024-04-12
2103,Casillero de 1 cuerpo y 4 puertas,Negro,Melamina,Con chapa,5,980,4900,2024-03-21
2104,Silla estática con brazo,Negro,Metal,No acolchonada,10,320,3200,2024-01-23
2105,Gabetero de 2 cajas con chapa adicional,Gris,Melamina,De oficina,10,980,9800,2024-03-07
2106,Casillero de 12 puertas,Azul,Metal,Con chapa,7,2200,15400,2024-05-29
2107,Vitrina para farmacia,Blanco,Melamina,De vidrio,2,1100,2200,2024-05-26
2108,Vitrina para farmacia,Azul,Metal,De madera,3,1100,3300,2024-02-06
2109,Silla de peluquería,Blanco,Melamina,Acolchonada,5,210,1050,2024-03-02
2110,Vitrina doble chapa,Gris,Melamina,De vidrio,3,1350,4050,2024-05-14
2111,Casillero de 1 cuerpo y 4 puertas,Gris,Melamina,Sin chapa,5,980,4900,2024-02-19
2112,Casillero de 2 puertas,Negro,Melamina,Con chapa,6,980,5880,2024-03-03
2113,Silla giratoria,Rojo,Metal,No acolchonada,10,990,9900,2024-04-11
2114,Casillero de 15 puertas,Rojo,Metal,Sin chapa,5,2290,11450,2024-03-11
2115,Estante mostrador,Blanco,Melamina,Con puertas,8,520,4160,2024-05-29
2116,Silla mesedora,Negro,Melamina,Con brazos,9,500,4500,2024-05-14
2117,Silla de espera,Negro,Metal,Sin brazos,7,950,6650,2024-03-09
2118,Horno semi-industrial,Blanco,Melamina,A gas,2,2550,5100,2024-01-21
2119,Gabetero de 2 cajas sin chapa,Negro,Metal,De hogar,7,830,5810,2024-04-21
2120,Casillero de 20 puertas,Gris,Melamina,Con chapa,10,2800,28000,2024-02-25
2121,Silla mesedora,Gris,Metal,Sin brazos,7,500,3500,2024-05-11
2122,Silla de peluquería,Gris,Melamina,No acolchonada,7,210,1470,2024-02-12
2123,Casillero de 15 puertas,Azul,Metal,Sin espejo,8,2290,18320,2024-05-27
2124,Silla de espera,Rojo,Metal,Sin brazos,9,950,8550,2024-03-13
2125,Gabetero de 5 cajas,Rojo,Metal,Con cerradura,6,1600,9600,2024-05-07
2126,Vitrina para farmacia,Rojo,Metal,De madera,2,1100,2200,2024-03-22
2127,Silla de espera,Negro,Melamina,Con brazos,7,950,6650,2024-02-25
2128,Estante para archivos con bandejas,Gris,Melamina,De pie,6,2350,14100,2024-03-07
2129,Casillero de 20 puertas,Azul,Melamina,Con espejo,10,2800,28000,2024-05-23
2130,Archivador de Chapas Individuales,Blanco,Metal,Sin agregado,2,1400,2800,2024-04-30
2131,Silla mesedora,Blanco,Melamina,Con brazos,6,500,3000,2024-05-29
2132,Camilla de examen con espaldar movible,Azul,Metal,Con espaldar movible,1,1450,1450,2024-03-18
2133,Velador clínico,Negro,Metal,Sin agregado,2,650,1300,2024-03-02
2134,Casillero de cuatro puertas,Blanco,Metal,Sin espejo,9,1550,13950,2024-03-28
2135,Gabetero de 2 cajas sin chapa,Rojo,Melamina,De hogar,6,830,4980,2024-01-23
2136,Estante para farmacia,Gris,Metal,De pie,8,3500,28000,2024-05-16
2137,Silla estática con brazo,Negro,Metal,Con brazos,9,320,2880,2024-05-05
2138,Casillero de 15 puertas,Gris,Metal,Con espejo,4,2290,9160,2024-02-10
2139,Mesa de instrumentación,Azul,Metal,Con cajones,1,650,650,2024-01-14
2140,Estante de puertas corredizas,Gris,Metal,De pie,10,1750,17500,2024-03-29
2141,Casillero de 2 puertas,Rojo,Metal,Sin chapa,8,980,7840,2024-02-09
2142,Archivador de Chapas Individuales,Gris,Metal,Sin agregado,3,1400,4200,2024-03-05
2143,Casillero de dos puertas,Blanco,Melamina,Sin chapa,3,1850,5550,2024-04-11
2144,Vitrina para farmacia,Blanco,Melamina,Con iluminación,2,1100,2200,2024-02-22
2145,Estante mostrador,Negro,Melamina,De pared,5,520,2600,2024-05-01
2146,Camillas para masajes,Blanco,Metal,Fija,3,1250,3750,2024-01-20
2147,Silla estática,Gris,Metal,Sin brazos,3,140,420,2024-01-26
2148,Casillero de 2 puertas,Gris,Melamina,Sin chapa,7,980,6860,2024-05-23
2149,Casillero de 12 puertas,Gris,Metal,Con espejo,4,2200,8800,2024-03-11
2150,Silla de espera,Negro,Melamina,No acolchonada,6,950,5700,2024-02-14
2151,Casillero de 20 puertas,Azul,Metal,Sin chapa,8,2800,22400,2024-02-23
2152,Estante mostrador,Negro,Melamina,Con puertas,10,520,5200,2024-05-18
2153,Gabetero de 2 cajas con chapa adicional,Azul,Melamina,Sin cerradura,10,980,9800,2024-04-10
2154,Archivador de Chapas Individuales,Rojo,Metal,Sin agregado,1,1400,1400,2024-05-23
2155,Silla estática con brazo,Blanco,Melamina,Sin brazos,3,320,960,2024-01-30
2156,Casillero de 2 puertas,Azul,Melamina,Con espejo,6,980,5880,2024-03-30
2157,Ropero casillero,Blanco,Metal,Sin agregado,3,2500,7500,2024-04-26
2158,Vitrina doble chapa,Azul,Metal,Sin iluminación,1,1350,1350,2024-04-06
2159,Casillero de 20 puertas,Negro,Melamina,Sin espejo,2,2800,5600,2024-03-11
2160,Estanteria tipo vitrin,Azul,Metal,De pie,9,650,5850,2024-01-14
2161,Casillero de 1 cuerpo y 4 puertas,Rojo,Metal,Sin espejo,2,980,1960,2024-02-08
2162,Silla mesedora,Azul,Metal,No acolchonada,8,500,4000,2024-05-12
2163,Casillero de 20 puertas,Negro,Metal,Con chapa,8,2800,22400,2024-03-06
2164,Gabetero de 2 cajas sin chapa,Negro,Metal,Sin cerradura,10,830,8300,2024-01-13
2165,Estante mostrador,Rojo,Metal,De pie,9,520,4680,2024-02-15
2166,Casillero de 9 puertas,Gris,Melamina,Sin espejo,5,1850,9250,2024-04-26
2167,Casillero de 1 cuerpo y tres puertas,Negro,Metal,Sin espejo,9,950,8550,2024-02-15
2168,Casillero de 1 cuerpo y 4 puertas,Gris,Metal,Con espejo,9,980,8820,2024-03-27
2169,Silla de espera,Blanco,Melamina,Sin brazos,9,950,8550,2024-02-01
2170,Gabetero de 2 cajas sin chapa,Azul,Metal,De oficina,6,830,4980,2024-01-18
2171,Silla giratoria,Negro,Metal,No acolchonada,10,990,9900,2024-04-14
2172,Estante de puertas corredizas,Blanco,Melamina,Sin puertas,2,1750,3500,2024-01-11
2173,Silla de peluquería,Negro,Metal,Acolchonada,10,210,2100,2024-02-07
2174,Silla mesedora,Blanco,Metal,No acolchonada,4,500,2000,2024-02-07
2175,Estante Archivador,Negro,Melamina,Sin puertas,2,1250,2500,2024-01-14
2176,Casillero de 6 puertas,Negro,Melamina,Sin espejo,6,1750,10500,2024-02-25
2177,Casillero de 9 puertas,Azul,Metal,Sin chapa,8,1850,14800,2024-04-07
2178,Estante para farmacia de dos cuerpos,Blanco,Metal,De pared,8,3550,28400,2024-02-07
2179,Silla estática,Azul,Melamina,Sin brazos,10,140,1400,2024-04-02
2180,Silla estática,Rojo,Metal,Acolchonada,6,140,840,2024-02-06
2181,Gabetero con chapa independiente,Negro,Melamina,De hogar,7,1750,12250,2024-02-18
2182,Estante para farmacia de dos cuerpos,Negro,Metal,De pared,5,3550,17750,2024-05-10
2183,Camilla de ginecología,Negro,Melamina,Con barillas,3,1850,5550,2024-02-02
2184,Estante para farmacia de dos cuerpos,Negro,Melamina,Con puertas,8,3550,28400,2024-02-04
2185,Estante para farmacia,Negro,Metal,De pared,8,3500,28000,2024-03-21
2186,Casillero de 1 cuerpo y 4 puertas,Rojo,Metal,Con espejo,9,980,8820,2024-03-11
2187,Casillero de 20 puertas,Negro,Metal,Con espejo,8,2800,22400,2024-05-02
2188,Estante para farmacia,Negro,Metal,De pared,1,3500,3500,2024-04-02
2189,Alacena con pedestal,Negro,Melamina,Sin agregado,1,1600,1600,2024-01-16
2190,Gabetero de 4 cajas,Gris,Metal,Sin cerradura,10,1380,13800,2024-02-06
2191,Casillero de 9 puertas,Gris,Metal,Con chapa,10,1850,18500,2024-01-18
2192,Casillero de 20 puertas,Gris,Metal,Con chapa,6,2800,16800,2024-04-02
2193,Silla estática con brazo,Rojo,Metal,Acolchonada,7,320,2240,2024-02-13
2194,Estante Archivador,Rojo,Metal,Con puertas,7,1250,8750,2024-01-30
2195,Casillero de 1 cuerpo y 1 puerta,Gris,Melamina,Con espejo,6,900,5400,2024-04-19
2196,Casillero de 15 puertas,Rojo,Metal,Con chapa,9,2290,20610,2024-05-09
2197,Gabetero de 2 cajas sin chapa,Negro,Melamina,De hogar,7,830,5810,2024-03-25
2198,Silla mesedora,Blanco,Metal,Acolchonada,10,500,5000,2024-01-29
2199,Estante para farmacia de dos cuerpos,Gris,Melamina,Sin puertas,10,3550,35500,2024-03-16
2200,Estante Archivador,Negro,Metal,Sin puertas,2,1250,2500,2024-04-20
2201,Vitrina para farmacia,Rojo,Metal,Con iluminación,1,1100,1100,2024-02-21
2202,Casillero de 15 puertas,Rojo,Melamina,Sin chapa,10,2290,22900,2024-01-15
2203,Gabetero con chapa independiente,Gris,Metal,Con cerradura,8,1750,14000,2024-03-21
2204,Velador clínico,Negro,Metal,Sin agregado,1,650,650,2024-04-07
2205,Gabetero de 4 cajas,Azul,Metal,De hogar,8,1380,11040,2024-04-06
2206,Estante mostrador,Rojo,Melamina,De pie,7,520,3640,2024-05-23
2207,Estante Archivador,Gris,Metal,Sin puertas,7,1250,8750,2024-02-08
2208,Casillero de 15 puertas,Blanco,Metal,Sin chapa,3,2290,6870,2024-04-05
2209,Estante para farmacia,Negro,Melamina,Con puertas,4,3500,14000,2024-01-29
2210,Cajero para supermercado,Blanco,Melamina,Sin agregado,3,1200,3600,2024-05-25
2211,Mesa de curación,Azul,Metal,Cuadrada,1,850,850,2024-04-30
2212,Casillero de cuatro puertas,Rojo,Metal,Sin chapa,8,1550,12400,2024-01-31
2213,Silla de espera,Blanco,Melamina,Con brazos,6,950,5700,2024-03-24
2214,Estante de puertas corredizas,Gris,Melamina,De pie,8,1750,14000,2024-04-06
2215,Estante de puertas corredizas,Blanco,Metal,De pie,3,1750,5250,2024-04-15
2216,Horno hogareño,Gris,Melamina,Con ventilador,3,1250,3750,2024-02-14
2217,Silla estática,Azul,Metal,Con brazos,6,140,840,2024-02-29
2218,Casillero de 20 puertas,Blanco,Melamina,Con chapa,10,2800,28000,2024-04-21
2219,Casillero de cuatro puertas,Blanco,Metal,Con chapa,8,1550,12400,2024-02-08
2220,Estante para farmacia,Blanco,Metal,De pared,10,3500,35000,2024-01-11
2221,Estante Archivador,Rojo,Melamina,De pared,2,1250,2500,2024-04-28
2222,Silla estática,Blanco,Metal,No acolchonada,9,140,1260,2024-05-10
2223,Estante para farmacia de dos cuerpos,Gris,Metal,Con puertas,9,3550,31950,2024-01-20
2224,Casillero de dos puertas,Azul,Melamina,Sin espejo,8,1850,14800,2024-04-30
2225,Silla giratoria,Negro,Melamina,Con brazos,6,990,5940,2024-04-10
2226,Cocina industrial de dos quemadores,Azul,Melamina,Sin agregado,2,1250,2500,2024-02-27
2227,Estante para farmacia,Rojo,Metal,De pared,8,3500,28000,2024-05-30
2228,Mesa de trabajo,Gris,Metal,Sin cajones,2,1500,3000,2024-04-29
2229,Gabetero de 5 cajas,Negro,Melamina,Sin cerradura,5,1600,8000,2024-04-08
2230,Casillero de 1 cuerpo y 4 puertas,Blanco,Metal,Con espejo,9,980,8820,2024-04-14
2231,Estante mostrador,Blanco,Metal,De pie,8,520,4160,2024-04-03
2232,Silla de espera,Gris,Metal,Sin brazos,10,950,9500,2024-01-17
2233,Casillero de 15 puertas,Azul,Melamina,Sin chapa,7,2290,16030,2024-05-02
2234,Gabetero de 4 cajas,Negro,Metal,Sin cerradura,2,1380,2760,2024-05-29
2235,Casillero de 1 cuerpo y 4 puertas,Negro,Metal,Sin espejo,8,980,7840,2024-04-19
2236,Gabetero de 2 cajas sin chapa,Negro,Melamina,De hogar,6,830,4980,2024-04-07
2237,Silla de espera,Gris,Melamina,Acolchonada,7,950,6650,2024-02-01
2238,Silla giratoria,Gris,Metal,Con brazos,8,990,7920,2024-05-29
2239,Estante para farmacia,Negro,Melamina,De pared,2,3500,7000,2024-05-30
2240,Silla de peluquería,Negro,Metal,Acolchonada,9,210,1890,2024-05-06
2241,Estante mostrador,Blanco,Melamina,De pie,8,520,4160,2024-01-29
2242,Camilla con Barillas,Negro,Melamina,Fija,2,1850,3700,2024-04-11
2243,Gabetero de 4 cajas,Gris,Melamina,De oficina,6,1380,8280,2024-02-13
2244,Estante para farmacia,Azul,Metal,Sin puertas,4,3500,14000,2024-04-26
2245,Casillero de dos puertas,Azul,Metal,Sin chapa,9,1850,16650,2024-02-14
2246,Silla de peluquería,Gris,Metal,No acolchonada,7,210,1470,2024-04-25
2247,Silla de espera,Azul,Metal,Sin brazos,6,950,5700,2024-05-14
2248,Casillero de 9 puertas,Gris,Melamina,Con espejo,10,1850,18500,2024-01-20
2249,Casillero de cuatro puertas,Gris,Metal,Sin chapa,1,1550,1550,2024-02-25
2250,Gabetero de 2 cajas con chapa adicional,Azul,Melamina,De hogar,5,980,4900,2024-05-17
